ID	VARDAS PAVARDĖ	Sąrašas	Numeris sąraše	Porinkiminis numeris	Vienmandatė apygarda	Iškėlė vienmandatėje	Turas	Privalomas registruoti turtas (Eur)	Vertybiniai popieriai, meno kūriniai, juvelyriniai dirbiniai (Eur)	Piniginės lėšos (Eur)	Suteiktos paskolos (Eur)	Gautos paskolos (Eur)	Gautų pajamų suma (GPM305 formos 12, 13, 14 ir GPM305V formos V14 laukelių suma) (Eur)	Išskaičiuota (sumokėta) pajamų mokesčio suma (GPM305 formos 27, 28, 30 laukelių suma) (Eur)	Nuoroda į VRK psl.			
49	GINTAUTAS BABRAVIČIUS	3. Lietuvos laisvės sąjunga (liberalai)	107	-			I	0	0	0	0	120000	3019,29	100	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102894.0%26rnkId%3D426			
50	SVETLANA BABUJEVA	5. Partija Tvarka ir teisingumas	42	-			I	2027	0	0	0	3181	9619,88	1384	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102352.0%26rnkId%3D426			
51	JEVGENIJA BABUSENKO	12. Lietuvos žaliųjų partija	35	-			I	0	0	0	0	0	11101,24	1384	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104016.0%26rnkId%3D426			
52	ALGIRDAS BACEVIČIUS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	31	-	40. Telšių	Lietuvos centro partija	I	97700	0	33000	0	0	160,89	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104564.0%26rnkId%3D426			
53	VAIDOTAS BACEVIČIUS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	87	-	36. Kretingos-Palangos	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	86400	0	42000	0	27285	31184,4	3195	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104110.0%26rnkId%3D426			
54	VAIDAS BACYS	7. Lietuvos Respublikos liberalų sąjūdis	55	-			I	37100	0	0	0	0	22583,23	3191	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103586.0%26rnkId%3D426			
55	KĘSTUTIS BACVINKA	6. Lietuvos valstiečių ir žaliųjų sąjunga	83	-	66. Garliavos	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	46800	0	821	0	0	12352,38	1621	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102432.0%26rnkId%3D426			
56	MANTAS BADAUKIS	5. Partija Tvarka ir teisingumas	129	-			I	18100	0	5761	0	0	10286,88	1259	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102416.0%26rnkId%3D426			
57	KĘSTUTIS BAGDANAVIČIUS	7. Lietuvos Respublikos liberalų sąjūdis	120	-			I	165000	0	16700	0	7800	15561,16	1947	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103632.0%26rnkId%3D426			
58	ANDRIUS BAGDONAS	7. Lietuvos Respublikos liberalų sąjūdis	14	-			I	222970	0	20000	0	0	16795,24	1123	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103562.0%26rnkId%3D426			
59	ROLANDAS BAGDONAS	7. Lietuvos Respublikos liberalų sąjūdis	95	-	33. Pietų Žemaitijos	7. Lietuvos Respublikos liberalų sąjūdis	I	7909	0	40000	0	0	3425	215	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103448.0%26rnkId%3D426			
60	ŠARŪNAS BAGDONAS	13. Politinė partija „Lietuvos sąrašas“	14	-	58. Trakų-Vievio	13. Politinė partija „Lietuvos sąrašas“	I	32000	0	3000	0	35000	11530,24	1468	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104366.0%26rnkId%3D426			
