ID	VARDAS PAVARDĖ	Sąrašas	Numeris sąraše	Porinkiminis numeris	Vienmandatė apygarda	Iškėlė vienmandatėje	Turas	Privalomas registruoti turtas (Eur)	Vertybiniai popieriai, meno kūriniai, juvelyriniai dirbiniai (Eur)	Piniginės lėšos (Eur)	Suteiktos paskolos (Eur)	Gautos paskolos (Eur)	Gautų pajamų suma (GPM305 formos 12, 13, 14 ir GPM305V formos V14 laukelių suma) (Eur)	Išskaičiuota (sumokėta) pajamų mokesčio suma (GPM305 formos 27, 28, 30 laukelių suma) (Eur)	Nuoroda į VRK psl.			
730	KĘSTUTIS MAŽEIKA	6. Lietuvos valstiečių ir žaliųjų sąjunga	39	-	63. Sūduvos	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	487300	0	65000	0	0	105482,78	3173	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102520.0%26rnkId%3D426			
731	JŪRATĖ MAŽEIKYTĖ	12. Lietuvos žaliųjų partija	13	-			I	50000	0	1074	0	0	7245,89	935	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103996.0%26rnkId%3D426			
732	VIDMANTAS MAŽELIS	8. Darbo partija	42	-	50. Sėlos	8. Darbo partija	I	45990	6285	72377	0	0	14110,32	1587	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100652.0%26rnkId%3D426			
733	INGRIDA MAŽONAVIČIŪTĖ	3. Lietuvos laisvės sąjunga (liberalai)	91	-			I	0	0	0	0	0	13080,86	1958	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102930.0%26rnkId%3D426			
734	VITALIJA MAŽONIENĖ	4. S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	66	-			I	32000	0	10000	0	0	8078,47	1092	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101356.0%26rnkId%3D426			
735	SIGITAS MECELICA	12. Lietuvos žaliųjų partija	2	-	51. Utenos	12. Lietuvos žaliųjų partija	I	119730	0	11354	0	38333	20726,14	3043	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103982.0%26rnkId%3D426			
736	ALVYDAS MEDALINSKAS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	6	-	1. Naujamiesčio	Lietuvos centro partija	I	167660	0	351	28450	0	5977,3	695	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104548.0%26rnkId%3D426			
737	MODESTA MEDIŠAUSKAITĖ	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	76	-			I	0	0	0	0	0	15505,69	642	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104694.0%26rnkId%3D426			
738	ALGIRDAS MEIŽENIS	5. Partija Tvarka ir teisingumas	45	-			I	42400	0	5108	0	0	12626,99	965	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102354.0%26rnkId%3D426			
739	ARTŪRAS MELIANAS			-	11. Panerių	Išsikėlė pats	I	68000	0	21954	0	0	0	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1098400.0%26rnkId%3D426			
740	JULIJA MELNIKOVA	5. Partija Tvarka ir teisingumas	105	-			I	50000	0	0	0	90000	16040,07	2406	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102370.0%26rnkId%3D426			
741	PETRAS MENDEIKA	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	92	-			I	52335	46339	7500	0	0	2769,01	6	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104266.0%26rnkId%3D426			
742	GIEDRĖ MENDOZA HERRERA	7. Lietuvos Respublikos liberalų sąjūdis	35	-	24. Saulės	7. Lietuvos Respublikos liberalų sąjūdis	I	56500	0	3000	0	63750	16851,2	2368	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103500.0%26rnkId%3D426			
743	ARŪNAS MERKELIS	6. Lietuvos valstiečių ir žaliųjų sąjunga	64	-	36. Kretingos-Palangos	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	119759	0	5343	0	93693	21217,94	3023	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102462.0%26rnkId%3D426			
744	DALIA MEŠKAUSKIENĖ	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	130	-			I	42777	0	0	0	0	12049,67	1807	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104296.0%26rnkId%3D426			
745	LAIMA MEŠKAUSKIENĖ	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	22	-	54. Molėtų-Širvintų	Lietuvos centro partija	I	11450	0	1700	0	0	19772,97	2898	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104598.0%26rnkId%3D426			
746	VINCAS METRIKIS	5. Partija Tvarka ir teisingumas	54	-	41. Kelmės-Šiaulių	5. Partija Tvarka ir teisingumas	I	8300	0	6610	0	0	9567,76	1320	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102206.0%26rnkId%3D426			
747	DENIS MICHALENKO	6. Lietuvos valstiečių ir žaliųjų sąjunga	95	-			I	7100	0	15498	0	5174	27845,14	4048	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102654.0%26rnkId%3D426			
748	EDVARDAS MICHALIOVAS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	62	-	71. Lazdijų-Druskininkų	Lietuvos centro partija	I	87000	0	0	0	56714	2936,43	186	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104556.0%26rnkId%3D426			
749	EGIDIJUS MICKEVIČIUS	5. Partija Tvarka ir teisingumas	112	-			I	4450	0	0	0	0	14159,95	2034	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102340.0%26rnkId%3D426			
750	LILIJA MIEŽINIENĖ	8. Darbo partija	105	-			I	80717	3417	27475	28962	15154	23163,88	3232	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101486.0%26rnkId%3D426			
751	RIMANTAS MIKAITIS	7. Lietuvos Respublikos liberalų sąjūdis	32	-	14. Šilainių	7. Lietuvos Respublikos liberalų sąjūdis	I	7643	0	3000	0	1740	5396,26	531	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103480.0%26rnkId%3D426			
752	VIDAS MIKALAUSKAS	1. Lietuvos socialdemokratų partija	70	-	70. Varėnos-Trakų	1. Lietuvos socialdemokratų partija	I	54756	0	43963	0	0	32589,03	4888	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103802.0%26rnkId%3D426			
753	VALDAS PETRAS MIKELIONIS	7. Lietuvos Respublikos liberalų sąjūdis	121	-			I	38910	0	17800	0	6100	26900,87	2606	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103634.0%26rnkId%3D426			
754	VYTAUTAS MIKELIONIS	8. Darbo partija	85	-			I	94200	0	4800	0	1000	13572,45	1942	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101490.0%26rnkId%3D426			
755	VYTAUTAS MIKĖNAS	4. S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	8	-			I	1500	0	0	0	0	6395,88	774	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1099958.0%26rnkId%3D426			
756	GINTAUTAS MIKOLAITIS	1. Lietuvos socialdemokratų partija	53	-			I	177670	0	9086	0	0	34212,25	4965	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103852.0%26rnkId%3D426			
757	KRISTINA MIKOLAJŪNIENĖ	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	111	-			I	37150	0	0	0	1500	9437,5	1295	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103228.0%26rnkId%3D426			
758	DANGIRDAS MIKŠYS	10. Lietuvos liaudies partija	23	-	48. Biržų-Kupiškio	10. Lietuvos liaudies partija	I	13900	0	0	0	0	546,59	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103294.0%26rnkId%3D426			
759	KĘSTUTIS MIKULSKAS	12. Lietuvos žaliųjų partija	17	-			I	116800	0	0	0	0	15318,49	2244	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104028.0%26rnkId%3D426			
760	GINTARĖ MIKUŠEVIČIENĖ	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	93	-			I	300	0	0	0	39150	11179,29	1591	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104640.0%26rnkId%3D426			
761	DANGUTĖ MIKUTIENĖ	8. Darbo partija	15	-	58. Trakų-Vievio	8. Darbo partija	I	312000	6480	60919	11584	112157	54251,97	5844	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100530.0%26rnkId%3D426			
762	ARTŪRAS MILAŠAUSKAS	8. Darbo partija	88	-			I	16903	0	5536	0	0	28048,71	3892	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101488.0%26rnkId%3D426			
763	RŪTA MILIŪTĖ	6. Lietuvos valstiečių ir žaliųjų sąjunga	114	-			I	0	0	0	0	0	7712,82	998	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102608.0%26rnkId%3D426			
764	ALEKSANDRA MINAJEVA	6. Lietuvos valstiečių ir žaliųjų sąjunga	75	-	57. Medininkų	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	2000	0	700	0	4500	8861,92	1240	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102514.0%26rnkId%3D426			
765	DŽIULJETA MIRONAITĖ	4. S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	52	-			I	65000	0	302	0	4516	11636,96	1641	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1099926.0%26rnkId%3D426			
766	RYTIS MIRONČIKAS	3. Lietuvos laisvės sąjunga (liberalai)	78	-			I	349581	0	96288	0	0	5612,41	597	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102924.0%26rnkId%3D426			
767	RIMANTĖ MISIŪNIENĖ	6. Lietuvos valstiečių ir žaliųjų sąjunga	86	-			I	105711	0	11650	0	0	13520,82	1974	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102640.0%26rnkId%3D426			
768	AUSMA MIŠKINIENĖ	6. Lietuvos valstiečių ir žaliųjų sąjunga	131	-			I	215000	0	1861	0	0	9211,2	1275	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102698.0%26rnkId%3D426			
769	KRISTINA MIŠKINIENĖ	1. Lietuvos socialdemokratų partija	13	-	71. Lazdijų-Druskininkų	1. Lietuvos socialdemokratų partija	I	31101	0	19869	0	0	40782,19	5953	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103832.0%26rnkId%3D426			
770	ALGIS MIŠKINIS	1. Lietuvos socialdemokratų partija	114	-			I	130410	0	24810	0	0	11474,71	1721	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103904.0%26rnkId%3D426			
771	RENATAS MIŠKINIS	12. Lietuvos žaliųjų partija	7	-	3. Antakalnio	12. Lietuvos žaliųjų partija	I	1000	0	1455	0	0	12136,37	1712	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103988.0%26rnkId%3D426			
772	VYTAUTAS MITALAS	7. Lietuvos Respublikos liberalų sąjūdis	50	-			I	7500	0	0	0	0	11315,9	1697	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103580.0%26rnkId%3D426			
773	RIMVYDAS MITKUS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	131	-			I	23269	0	14477	0	0	13775,84	1985	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104298.0%26rnkId%3D426			
774	ALBINAS MITRULEVIČIUS	1. Lietuvos socialdemokratų partija	21	-	29. Marijampolės	1. Lietuvos socialdemokratų partija	I	27727	0	78960	0	0	36380,28	5188	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103708.0%26rnkId%3D426			
775	DONATAS MIZARAS	5. Partija Tvarka ir teisingumas	41	-	64. Zanavykų	5. Partija Tvarka ir teisingumas	I	116242	0	3096	5000	11432	2091,63	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102258.0%26rnkId%3D426			
776	ARMINAS MOCKEVIČIUS	6. Lietuvos valstiečių ir žaliųjų sąjunga	70	-	4. Žirmūnų	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	46000	9658	6628	0	0	59132,07	1915	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102474.0%26rnkId%3D426			
777	ALVYDAS MOCKUS	5. Partija Tvarka ir teisingumas	139	-	35. Plungės	5. Partija Tvarka ir teisingumas	I	0	0	311	0	395	7256,26	858	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102274.0%26rnkId%3D426			
778	ARVYDAS MOCKUS	1. Lietuvos socialdemokratų partija	52	-	24. Saulės	1. Lietuvos socialdemokratų partija	I	424737	4388	30300	0	54000	32247,26	4578	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103698.0%26rnkId%3D426			
779	DARIUS MOCKUS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	101	-	60. Jonavos	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	83500	0	0	0	14481	18219,38	2454	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104176.0%26rnkId%3D426			
780	EDGARAS MOCKUS	8. Darbo partija	50	-			I	0	0	0	0	0	4670,3	448	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101524.0%26rnkId%3D426			
781	ALMA MONKAUSKAITĖ	1. Lietuvos socialdemokratų partija	28	-	41. Kelmės-Šiaulių	1. Lietuvos socialdemokratų partija	I	43250	0	29000	0	0	36531,57	5155	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103804.0%26rnkId%3D426			
782	VILIJA MORKŪNAITĖ	13. Politinė partija „Lietuvos sąrašas“	13	-	48. Biržų-Kupiškio	13. Politinė partija „Lietuvos sąrašas“	I	0	0	0	0	0	8728,42	1215	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104364.0%26rnkId%3D426			
783	RADVILĖ MORKŪNAITĖ-MIKULĖNIENĖ	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	9	-	26. Nevėžio	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	105181	0	118072	0	0	4999,06	510	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104082.0%26rnkId%3D426			
784	JULIUS MORKŪNAS	5. Partija Tvarka ir teisingumas	29	-	15. Kalniečių	5. Partija Tvarka ir teisingumas	I	63692	0	18985	0	12546	32945,18	4782	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102164.0%26rnkId%3D426			
785	ALFONSAS MORKVĖNAS	8. Darbo partija	95	-			I	134642	0	11585	0	0	6440,5	783	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101452.0%26rnkId%3D426			
786	RENATA MOROZ	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	75	-			I	49500	0	0	0	0	8773,88	1008	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103196.0%26rnkId%3D426			
787	GINTARAS MOTIEJŪNAS			-	10. Naujosios Vilnios	Lietuvos centro partija	I	157800	0	0	0	0	5678	199	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104620.0%26rnkId%3D426			
788	GIEDRIUS MOZŪRAITIS	8. Darbo partija	10	-	7. Justiniškių	8. Darbo partija	I	106000	0	1869	0	79608	28585,62	4126	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100612.0%26rnkId%3D426			
789	VITALIJ MUCHLIADO	10. Lietuvos liaudies partija	15	-	53. Nalšios	10. Lietuvos liaudies partija	I	56000	2896	0	0	0	3750	220	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103312.0%26rnkId%3D426			
790	MARIUS MUIŽINIKAS	1. Lietuvos socialdemokratų partija	96	-	59. Kaišiadorių-Elektrėnų	1. Lietuvos socialdemokratų partija	I	0	0	78000	5000	0	43149,54	4008	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103822.0%26rnkId%3D426			
791	RAFAEL MUKSINOV	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	10	-	5. Fabijoniškių	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	I	24000	0	1200	0	0	8274,93	1129	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103024.0%26rnkId%3D426			
792	INGA MURAŠOVA	7. Lietuvos Respublikos liberalų sąjūdis	100	-			I	0	0	0	0	0	2656,97	100	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103670.0%26rnkId%3D426			
793	GINTAUTAS MURINAS	8. Darbo partija	104	-			I	1500	0	0	0	17317	16212,57	2328	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101538.0%26rnkId%3D426			
794	ASTA MUSTEIKIENĖ	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	59	-	12. Verkių	Lietuvos centro partija	I	1200	0	0	0	0	13442,13	134	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104552.0%26rnkId%3D426			
795	KĘSTUTIS MUSTEIKIS	13. Politinė partija „Lietuvos sąrašas“	20	-			I	173500	0	8000	0	0	13459,13	347	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104394.0%26rnkId%3D426			
796	MARTYNAS NAGEVIČIUS	7. Lietuvos Respublikos liberalų sąjūdis	84	-			I	260000	8600	45000	0	0	74478,7	7748	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103618.0%26rnkId%3D426			
797	LAIMA NAGIENĖ	1. Lietuvos socialdemokratų partija	44	-			I	35758	0	7494	0	7000	26338,66	3951	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103846.0%26rnkId%3D426			
798	AUDRIUS NAKAS	10. Lietuvos liaudies partija	2	-	12. Verkių	10. Lietuvos liaudies partija	I	0	0	0	0	9829	23629,08	3413	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103308.0%26rnkId%3D426			
799	AUSTĖ NAKIENĖ	13. Politinė partija „Lietuvos sąrašas“	21	-			I	0	0	1500	0	0	8975,75	1262	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104396.0%26rnkId%3D426			
800	RAMUTĖ NALIVAIKIENĖ	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	25	-	11. Panerių	Lietuvos centro partija	I	88927	731	13771	0	0	7674,05	917	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104588.0%26rnkId%3D426			
801	DANUTA NARBUT	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	22	-	7. Justiniškių	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	I	123189	0	0	0	2040	24406,29	3445	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103030.0%26rnkId%3D426			
802	VIDA NARBUTIENĖ	5. Partija Tvarka ir teisingumas	104	-			I	103683	0	1200	0	2607	9779,87	1072	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102368.0%26rnkId%3D426			
803	ALINA NARKEVIČ	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	122	-			I	178245	0	0	0	0	11838,23	1627	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103164.0%26rnkId%3D426			
804	JAROSLAV NARKEVIČ	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	7	-	58. Trakų-Vievio	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	I	71000	0	39091	0	72171	43567,6	6132	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103016.0%26rnkId%3D426			
805	PETRAS NARKEVIČIUS	8. Darbo partija	26	-	26. Nevėžio	8. Darbo partija	I	70936	0	25791	0	0	35609,68	5149	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100592.0%26rnkId%3D426			
806	MARTA NARKUN	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	126	-			I	9000	0	3000	0	0	12161,18	1081	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103064.0%26rnkId%3D426			
807	JANĖ NARVILIENĖ	3. Lietuvos laisvės sąjunga (liberalai)	39	-	36. Kretingos-Palangos	3. Lietuvos laisvės sąjunga (liberalai)	I	277075	0	5000	0	0	15,06	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102822.0%26rnkId%3D426			
808	IGNAS NASTARAVIČIUS	5. Partija Tvarka ir teisingumas	120	-			I	0	0	23000	0	0	16207,76	2420	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102400.0%26rnkId%3D426			
809	IGNAS NAUBURAITIS	8. Darbo partija	120	-			I	35200	0	40000	0	0	14669,11	2045	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101528.0%26rnkId%3D426			
810	NERIJUS NAUJALIS	13. Politinė partija „Lietuvos sąrašas“	31	-			I	0	2000	2000	0	0	14034,57	2105	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104388.0%26rnkId%3D426			
811	ALFREDAS STASYS NAUSĖDA	6. Lietuvos valstiečių ir žaliųjų sąjunga	65	-	32. Šilutės	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	230780	0	14665	0	18435	93896,42	2029	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102452.0%26rnkId%3D426			
812	PETRAS NAUSĖDA	3. Lietuvos laisvės sąjunga (liberalai)	15	-	1. Naujamiesčio	3. Lietuvos laisvės sąjunga (liberalai)	I	78500	0	14416	0	56449	21574,85	2383	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102790.0%26rnkId%3D426			
813	GEDIMINAS NAVAITIS	4. S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	3	-			I	14481	0	29830	0	0	14561,18	2137	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101312.0%26rnkId%3D426			
